neuromedin B receptor,neuromedin-B receptor,G-protein coupled receptor signaling pathway,G-protein coupled peptide receptor activity,integral component of plasma membrane
PBANKA_094340,PB000621.01.0,,,crystalloid
hypothetical protein KPHS_32550,KPHS_32550,,,
parB,SO_A0096,,,
aspartokinase,Aspartokinase TM0547,cellular amino acid metabolic process,aspartate kinase activity,cytosol
gsk-3,Glycogen synthase kinase-3 CELE_Y18D10A.5,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,ATP binding,cellular component
Uncharacterized protein,hypothetical protein,dsRNA transport,RNA transmembrane transporter activity,integral component of membrane
wu:fc19a08,anp32e,nucleocytoplasmic transport,phosphatase inhibitor activity,Swr1 complex
phosphopentomutase,Phosphopentomutase Mesci_6035,cellular metabolic compound salvage,metal ion binding,cytoplasm
site-specific DNA-methyltransferase,MXF1_RS0119695,,,
ECL_01420,ECL_01420,,,
KPHS_19040,TrpR binding protein KPHS_19040,oxidation-reduction process,oxidoreductase activity,
single-stranded DNA-binding protein VC0397,VC0397,DNA repair,single-stranded DNA binding,nucleoid
CTL0443,Hypothetical protein CTL0443,,,
BPSS0743,BPSS0743,oxidation-reduction process,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",
PP-1B,"protein phosphatase 1, catalytic subunit, beta isozyme",cell division,myosin-light-chain-phosphatase activity,PTW/PP1 phosphatase complex
hypothetical protein,BN117_2691,purine nucleoside triphosphate catabolic process,metal ion binding,
stap2,signal-transducing adaptor protein-2,,,
ywrK,putative Na+/H+ antiporter,arsenite transport,arsenite transmembrane transporter activity,integral component of membrane
"LLP homolog, long-term synaptic facilitation (Aplysia)",protein LLP homolog,dendrite extension,protein binding,cell nucleus
dapF,aq_1838,cellular amino acid biosynthetic process,isomerase activity,cytosol
proton-translocating NADH-quinone oxidoreductase subunit M,Proton-translocating NADH-quinone oxidoreductase subunit M Smed_3625,oxidation-reduction process,oxidoreductase activity,membrane
NMB2127,Protease NMB2127,proteolysis,peptidase activity,membrane
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase NGR_c13420,lpxD,lipid metabolism,"transferase activity, transferring acyl groups other than amino-acyl groups",
hypothetical protein VPA1098,Hypothetical protein VPA1098,,,
hypothetical protein BDGL_000125,BDGL_000125,,,
NADPH:ferredoxin reductase KVU_0892,KVU_0892,oxidation-reduction process,oxidoreductase activity,
Xaa-Pro dipeptidase,XCC0545,organic phosphonate catabolic process,hydrolase activity,
two-component system histidine kinase,Two-component system histidine kinase AMED_3582,signal transduction,"transferase activity, transferring phosphorus-containing groups",membrane
"GTPase, IMAP family member 1",GTPase IMAP family member 1,T cell differentiation,nucleotide binding,Golgi apparatus
exodeoxyribonuclease VII small subunit Taci_0904,Taci_0904,nucleic acid phosphodiester bond hydrolysis,exonuclease activity,cytoplasm
SDY_4764,insertion element iso-IS1N protein InsA    SDY_0562a,"transposition, DNA-mediated",,
TcCLB.508727.60,"hypothetical protein, conserved",,,cell nucleus
hypothetical protein,CC_1365,,,outer membrane
VF_0110,yicC,,,
tssc1,protein TSSC1,,,
"abhydrolase domain containing 2, acylglycerol lipase a",abhydrolase domain containing 2,sperm capacitation,steroid hormone receptor activity,membrane
EgG_000500700,hypothetical protein,,,
cordon-bleu WH2 repeat,protein cordon-bleu,actin filament polymerization,actin binding,actin filament
LmjF27.2400,"heat shock protein DNAJ, putative",,,cytoplasm
Psyr_1675,FAD-dependent pyridine nucleotide-disulfide oxidoreductase Psyr_1675,oxidation-reduction process,FMN binding,
hypothetical protein RB4301,Hypothetical protein RB4301,,,
2900037O03Rik,dnaJ homolog subfamily C member 16,biological process,,membrane
BT_0043,Glycosyltransferase BT_0043,,transferase activity,
SE2244,Accessory Sec system translocase SecA2 SE2244,protein import,nucleotide binding,Cell membrane
NBR1 autophagy cargo receptor b,neighbor of BRCA1 gene 1,macroautophagy,ubiquitin binding,Autophagosome
ECIAI39_2442,yfbV,,,cell membrane
GGDEF family protein,GGDEF family protein VPA0198,,,integral component of membrane
BF1529,BF1529,,,
lysine methyltransferase 2E,histone-lysine N-methyltransferase 2E,cell cycle,methylated histone binding,cell nucleus
soluble pyridine nucleotide transhydrogenase,Atu1661,electron transport chain,electron transfer activity,
nifS,nifS,,catalytic activity,
peptide transport permease,Peptide transport permease SCO5714,transmembrane transport,nickel cation binding,cell membrane
32 kDa beta-galactoside-binding lectin lec-3;Galectin;gaLECtin,32 kDa beta-galactoside-binding lectin lec-3;Galectin;gaLECtin CELE_ZK892.1,,Carbohydrate binding,cell membrane
smi_1848,Pullulanase smi_1848,carbohydrate metabolic process,"hydrolase activity, hydrolyzing O-glycosyl compounds",cell wall
MXAN_RS00055,MXAN_RS00055,,,integral component of membrane
lipolytic protein Moth_1716,Lipolytic protein Moth_1716,,,
YMR058W,Ferroxidase FET3 YMR058W,iron ion transmembrane transport,copper ion binding,fungal-type vacuole
