blr5716,blr5716 blr5716,,,
EmuJ_000056300.1,Pur8,purine nucleotide biosynthetic process,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,
LmxM36.3210,14-3-3-I,negative regulation of mitotic nuclear division,,eukaryotic translation initiation factor 4F complex
LysR family transcriptional regulator LSL_0146,LysR family transcriptional regulator LSL_0146,"transcription, DNA-templated",DNA-binding transcription factor activity,
GSU2647,GSU2647,biological process,molecular function,cellular component
HP0025,membrane protein,,,
CIMG_13519-t26_1,CIMG_13519,,,
EAE_16700,EAE_16700,,,membrane
Hypothetical protein CELE_Y110A7A.21,hypothetical protein,,,membrane
Rv3540c,Rv3540c,metabolism,"transferase activity, transferring acyl groups other than amino-acyl groups",
G1/S-specific cyclin-E1,fa18e07,,,
ECL_01628,ECL_01628,"IMP biosynthetic process"",",formyltetrahydrofolate deformylase activity,
BF3296,MarR family transcriptional regulator,"regulation of transcription, DNA-templated",DNA-binding transcription factor activity,
PF11_0356,PF11_0356,,nucleotide binding,cytoplasm
Nepl13-PA,Dmel_CG4725,proteolysis,metallopeptidase activity,extracellular region
bauD,"ferric siderophore ABC transporter, permease protein BDGL_001876",transport,transporter activity,membrane
CC_3117,hypothetical protein CC_3117,,,
Hypothetical protein smi_1340,hypothetical protein smi_1340,,,
Cro/CI family transcriptional regulator BC2181,BC2181,,DNA binding,
mannose-binding lectin    MSMEG_3662,mannose-binding lectin,,Carbohydrate binding,
DNA topoisomerase 2,TRF3,DNA topological change,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity",synaptonemal complex
Mucin-desulfating sulfatase (N-acetylglucosamine-6-sulfatase) RB8596,mucin-desulfating sulfatase (N-acetylglucosamine-6-sulfatase),metabolism,N-acetylglucosamine-6-sulfatase activity,
AMED_5507,two-component system histidine kinase AMED_5507,signal transduction by protein phosphorylation,protein dimerization activity,intracellular
rlmL,rlmL,methylation,rRNA (guanine-N2-)-methyltransferase activity,cytoplasm
Protocadherin 2 gamma 10,pcdh2g10,cell adhesion,calcium ion binding,Cell membrane
Methionine aminopeptidase Moth_2438,Moth_2438,protein initiator methionine removal,peptidase activity,
O3K_11965,putative ATP-dependent helicase Lhr O3K_11965,,nucleic acid binding,
"Mucin-associated surface protein (MASP), subgroup S058",TcCLB.506955.99,,,cell surface
"splicing factor, arginine/serine-rich 130",PNN interacting serine and arginine rich protein,,RNA binding,cytosol
"3-phosphoglycerate kinase, glycosomal",Tc00.1047053511419.50,Glycolysis,phosphoglycerate kinase activity,glycosome
DNA polymerase III subunit chi,DNA polymerase III subunit chi,positive regulation of DNA-dependent DNA replication initiation,DNA binding,"DNA polymerase III, clamp loader chi/psi subcomplex"
EgG_001194300,EgG_001194300,protein peptidyl-prolyl isomerization,isomerase activity,
